Date,Price
18.10.2020,11358.70638
19.10.2020,11471.00255
20.10.2020,11776.593
21.10.2020,11936.36291
22.10.2020,13102.93446
23.10.2020,13140.66928
24.10.2020,12933.82357
25.10.2020,13081.67256
26.10.2020,13008.45326
27.10.2020,13033.52427
28.10.2020,13721.28222
29.10.2020,13282.26035
30.10.2020,13467.73178
31.10.2020,13573.7105
1.11.2020,13891.21683
2.11.2020,13730.19731
3.11.2020,13633.69822
4.11.2020,13832.93841
5.11.2020,14163.97682
6.11.2020,15424.52768
7.11.2020,15540.59659
8.11.2020,14783.98168
9.11.2020,15500.33425
10.11.2020,15283.78014
11.11.2020,15374.04439
12.11.2020,15820.49524
13.11.2020,16253.31027
14.11.2020,16347.04492
15.11.2020,15991.83302
16.11.2020,15918.08013
17.11.2020,16752.00299
18.11.2020,17593.48641
19.11.2020,17834.63653
20.11.2020,17954.85801
21.11.2020,18612.87067
22.11.2020,18591.8566
23.11.2020,18629.99554
24.11.2020,18469.20047
25.11.2020,19045.73647
26.11.2020,18746.93481
27.11.2020,17187.40628
28.11.2020,17023.9614
29.11.2020,17814.78028
30.11.2020,18114.41435
1.12.2020,19382.36059
2.12.2020,18980.97745
3.12.2020,19184.89785
4.12.2020,19464.5317
5.12.2020,18813.12476
6.12.2020,19045.02027
7.12.2020,19113.9334
8.12.2020,19107.5998
9.12.2020,18682.45783
10.12.2020,18543.00705
11.12.2020,18359.4766
12.12.2020,18137.31937
13.12.2020,18882.26017
14.12.2020,19060.2769
15.12.2020,19251.224
16.12.2020,19443.47635
17.12.2020,21310.65626
18.12.2020,22895.97624
19.12.2020,23008.77626
20.12.2020,23890.82265
21.12.2020,23537.36989
22.12.2020,23177.271
23.12.2020,23433.98076
24.12.2020,23224.45414
25.12.2020,23623.88553
26.12.2020,24581.00617
27.12.2020,26381.29623
28.12.2020,26389.29026
29.12.2020,26718.02946
30.12.2020,26975.72956
31.12.2020,28768.83621
1.01.2021,29111.52157
2.01.2021,29333.60512
3.01.2021,32154.16736
4.01.2021,33002.53643
5.01.2021,31431.61228
6.01.2021,34433.60651
7.01.2021,36275.75635
8.01.2021,39713.50786
9.01.2021,40519.4486
10.01.2021,40258.92399
11.01.2021,38709.76537
12.01.2021,34409.64238
13.01.2021,34214.61026
14.01.2021,37017.0075
15.01.2021,38435.86351
16.01.2021,36751.58497
17.01.2021,36016.77961
18.01.2021,36375.81138
19.01.2021,36346.6095
20.01.2021,36577.51965
21.01.2021,35004.53263
22.01.2021,30606.18268
23.01.2021,33368.36593
24.01.2021,32070.09743
25.01.2021,32285.72613
26.01.2021,32500.25596
